No,Source,Organism,Habitat,Landscape,SNA,Location,d,Var_d,Comments,habitat_n,landscape_n
1,Alvarez et al. 2001,Springtails,Cropland,Simple,3.4,England,0.35,0.19, ,1,2
2,Armbrecht et al. 2006,Ants,Cropland,Complex, ,Colombia,-1.45,0.67, ,1,1
3,Batáry et al. 2008 unpubl.,Plants,Cropland,Simple,15.7,Germany,2.09,0.2, ,1,2
4,Batáry et al. 2010,Birds,Cropland,Simple,16.2,Germany,0.49,0.2, ,1,2
5,Batáry et al. 2008 unpubl.,Carabids,Cropland,Simple,15.7,Germany,0.76,0.2, ,1,2
6,Batáry et al. 2008 unpubl.,Spiders,Cropland,Simple,15.7,Germany,2.02,0.2, ,1,2
7,Bos et al. 2007,Dung beetles,Cropland,Complex, ,Indonesia,0.21,0.5, ,1,1
8,Bos et al. 2007,Bees and wasps,Cropland,Complex, ,Indonesia,-0.23,0.5, ,1,1
9,Bos et al. 2007,Canopy ants,Cropland,Complex, ,Indonesia,-0.21,0.5, ,1,1
10,Bos et al. 2007,Canopy beetles,Cropland,Complex, ,Indonesia,-0.11,0.5, ,1,1
11,Clough et al. 2007a,Spiders,Cropland,Simple,11.7,Germany,-0.18,0.1, ,1,2
12,Clough et al. 2007a,Carabids,Cropland,Simple,11.7,Germany,0.14,0.1, ,1,2
13,Clough et al. 2007b,Staphylinids,Cropland,Simple,11.7,Germany,0.11,0.1, ,1,2
14,Drinkwater et al. 1995,Arthropods,Cropland,Simple, ,USA,0.62,0.13,Predators,1,2
1,Drinkwater et al. 1995,Arthropods,Cropland,Simple, ,USA,0.83,0.13,Parasitoids,1,2
16,Feber et al. 1998,Spiders,Cropland,Simple,0,England,1.12,0.22, ,1,2
17,Gabriel et al. 2006,Plants,Cropland,Simple,9.6,Germany,2,0.11, ,1,2
18,Genghini et al. 2006,Birds,Cropland,Simple, ,Italy,1.16,0.11, ,1,2
19,Hassal et al. 1992,Spiders,Cropland,Simple,11.6,England,-0.32,0.83, ,1,2
20,Hassal et al. 1992,Carabids,Cropland,Simple,11.6,England,0.84,0.83, ,1,2
21,Hassal et al. 1992,Heteropterans,Cropland,Simple,11.6,England,1.05,0.83, ,1,2
22,Holzschuh et al. 2007,Bees,Cropland,Simple,11.7,Germany,1.46,0.11, ,1,2
23,Irmler 2003,Carabids,Cropland,Simple,0,Germany,0.44,0.24, ,1,2
24,Kleijn et al. 2006,Plants,Cropland,Simple,3.3,England,0.84,0.1, ,1,2
25,Kleijn et al. 2006,Bees,Cropland,Simple,3.3,England,0.24,0.1, ,1,2
26,Kleijn et al. 2006,Spiders,Cropland,Simple,3.3,England,0.2,0.1, ,1,2
27,Kleijn et al. 2006,Birds,Cropland,Simple,3.3,England,0.35,0.1, ,1,2
28,Kleijn et al. 2006,Orthopterans,Cropland,Simple,11.7,Germany,0.21,0.11, ,1,2
29,Kleijn et al. 2006,Birds,Cropland,Simple,11.7,Germany,0.05,0.11, ,1,2
30,Kleijn et al. 2006,Plants,Cropland,Simple,3.8,Spain,0.81,0.13, ,1,2
31,Kleijn et al. 2006,Bees,Cropland,Simple,3.8,Spain,0.07,0.12, ,1,2
32,Kleijn et al. 2006,orthopterans,Cropland,Simple,3.8,Spain,0,0.12, ,1,2
33,Kleijn et al. 2006,Birds,Cropland,Simple,3.8,Spain,0.58,0.1,,1,2
34,Kremen et al. 2002,Bees,Cropland,Simple, ,USA,0.2,0.45, ,1,2
35,Moreby et al. 1994,Plants,Cropland,Simple, ,England,3.16,0.06, ,1,2
36,Öberg 2007,linyphiids,Cropland,Complex, ,Sweden,-1.54,0.53, ,1,1
37,Romero et al. 2008,Plants,Cropland,Complex, ,Spain,2.04,0.11, ,1,1
38,Roschewitz et al. 2005,Plants,Cropland,Simple,18.7,Germany,2.31,0.17, ,1,2
39,Rundlöf & Smith 2006,butterflies,Cropland,Complex,30.1,Sweden,0.56,0.33,heterogenous landscape,1,1
40,Rundlöf & Smith 200,6butterflies,Cropland,Simple,2.4,Sweden,1.89,0.33,homogenous landscape,1,2
41,Rundlöf et al. 2008a,butterflies,Cropland,Simple,6.7,Sweden,3.86,0.25, ,1,2
42,Rundlöf et al. 2008b,bumbleBees,Cropland,Complex,30.1,Sweden,0.65,0.33,heterogenous landscape,1,1
43,Rundlöf et al. 2008b,bumbleBees,Cropland,Simple,2.4,Sweden,2.29,0.33,homogenous landscape,1,2
44,Schmidt et al. 2005,spiders,Cropland,Simple,18.7,Germany,-0.14,0.17, ,1,2
45,Sepp et al. 2005,earthworms,Cropland,Complex, ,Estonia,0.07,0.3,Palamuse,1,1
46,Sepp et al. 2005,earthworms,Cropland,Complex, ,Estonia,0.07,0.3,Saaremaa,1,1
47,Shah et al. 2003,carabids,Cropland,Simple, ,England,-0.77,0.2, ,1,2
48,Shah et al. 2003,staphylinids,Cropland,Simple, ,England,0,0.2, ,1,2
49,Verhulst et al. 2004,Birds,Cropland,Complex,25.7,Hungary,1.62,0.09, ,1,1
50,Winfree et al. 2008,Plants,Cropland,Complex, ,USA,-0.24,0.23, ,1,1
51,Zalazar & Salvo 2007,heteropterans,Cropland,Simple, ,Argentina,1.14,0.67, ,1,2
52,Zalazar & Salvo 2007,auchenorrhynchans,Cropland,Simple, ,Argentina,3.31,0.67, ,1,2
53,Zalazar & Salvo 2007,beetles,Cropland,Simple, ,Argentina,2.54,0.67, ,1,2
54,Zalazar & Salvo 2007,Dipterans,Cropland,Simple, ,Argentina,0.63,0.67, ,1,2
55,Zalazar & Salvo 2007,hymenopterans,Cropland,Simple, ,Argentina,3.01,0.67, ,1,2
56,Albrecht et al. 200,7Bees,Grassland,Simple, ,Switzerland,0.97,0.15, ,2,2
57,Albrecht et al. 2007,hoverflies,Grassland,Simple, ,Switzerland,1.16,0.15, ,2,2
58,Báldi et al. 2007,Plants,Grassland,Complex,54.5,Hungary,1.21,0.1, ,2,1
59,Báldi et al. 2007,Bees,Grassland,Complex,54.5,Hungary,0.5,0.1, ,2,1
60,Báldi et al. 2007,auchenorrhynchans,Grassland,Complex,54.5,Hungary,1.39,0.1, ,2,1
61,Báldi et al. 2007,heteropterans,Grassland,Complex,54.5,Hungary,0.98,0.1, ,2,1
62,Batáry et al. 2007,aorthopterans,Grassland,Complex,54.5,Hungary,0.67,0.1, ,2,1
63,Batáry et al. 2007b,Carabids,Grassland,Complex,54.5,Hungary,-0.9,0.1, ,2,1
64,Batáry et al. 2007b,Weevils,Grassland,Complex,54.5,Hungary,0.04,0.1, ,2,1
65,Batáry et al. 2007b,Leaf-beetles,Grassland,Complex,54.5,Hungary,2.57,0.1, ,2,1
66,Batáry et al. 2007c,Birds,Grassland,Complex,54.3,Hungary,0.43,0.1, ,2,1
67,Batáry et al. 2008,Spiders,Grassland,Complex,54.5,Hungary,0.91,0.1, ,2,1
68,Batáry et al. 2008 unpubl,Plants,Grassland,Simple,18,Germany,0.95,0.2, ,2,2
69,Batáry et al. 2008 unpubl,Orthopterans,Grassland,Simple,20,Germany,0.18,0.22, ,2,2
70,Batáry et al. 2010,Birds,Grassland,Simple,18.8,Germany,0.37,0.2, ,2,2
71,Batáry et al. 2008 unpubl.,Carabids,Grassland,Simple,18,Germany,0.43,0.2, ,2,2
72,Batáry et al. 2008 unpubl,Spiders,Grassland,Simple,18,Germany,1.03,0.2, ,2,2
73,Dietschi et al. 2007,Plants,Grassland,Complex, ,Switzerland,1.94,0.13,Ext. vs. int.,2,1
74,Dietschi et al. 2007,Plants,Grassland,Complex, ,Switzerland,0.3,0.18,Dry ext. vs. dry low-int.,2,1
75,Ekroos et al. 2008,Butterflies,Grassland,Simple,11.1,Finland,-0.04,0.09, ,2,2
76,Ekroos et al. 2008,BumbleBees,Grassland,Simple,11.1,Finland,0.54,0.09, ,2,2
77,Hutton & Giller 2003,Dung beetles,Grassland,Simple, ,Ireland,0.95,0.5, ,2,2
78,Kleijn et al. 2001,Plants,Grassland,Simple,11.5,Netherlands,0.41,0.09, ,2,2
79,Kleijn et al. 2001,Hoverflies,Grassland,Simple,8,Netherlands,0.24,0.05, ,2,2
80,Kleijn et al. 2001,Bees,Grassland,Simple,8,Netherlands,0.13,0.05, ,2,2
81,Kleijn et al. 2006,Birds,Grassland,Complex, ,Switzerland,0.37,0.1, ,2,1
82,Kleijn et al. 2006,Birds,Grassland,Simple,0.5,Netherlands,0.27,0.11, ,2,2
83,Kleijn et al. 2006,Plants,Grassland,Simple,0.5,Netherlands,0.3,0.1, ,2,2
84,Kleijn et al. 2006,Orthopterans,Grassland,Simple,0.5,Netherlands,-0.31,0.1, ,2,2
85,Knop et al. 2006,Plants,Grassland,Complex, ,Switzerland,0.88,0.1, ,2,1
86,Knop et al. 2006,Orthopterans,Grassland,Complex, ,Switzerland,0.54,0.1, ,2,1
87,Knop et al. 2006,Spiders,Grassland,Complex, ,Switzerland,0.12,0.1, ,2,1
88,Kohler et al. 2007,Bees,Grassland,Complex, ,Switzerland,0.76,0.1, ,2,1
89,Kohler et al. 2007,Bees,Grassland,Simple,0.5,Netherlands,-0.1,0.13, ,2,2
90,Kruess & Tscharntke 2002a,Beetles,Grassland,Complex,26.4,Germany,2.29,0.33, ,2,1
91,Kruess & Tscharntke 2002a,Heteropterans,Grassland,Complex,26.4,Germany,1.19,0.33, ,2,1
92,Kruess & Tscharntke 2002a,Auchenorrhynchans,Grassland,Complex,26.4,Germany,0.67,0.33, ,2,1
93,Kruess & Tscharntke 2002a,Hymenopterans,Grassland,Complex,26.4,Germany,1.35,0.33, ,2,1
94,Kruess & Tscharntke 2002b,Plants,Grassland,Complex,26.4,Germany,0.18,0.33, ,2,1
95,Kruess & Tscharntke 2002b,Ensiferans,Grassland,Complex,26.4,Germany,0.87,0.33, ,2,1
96,Kruess & Tscharntke 2002b,Grasshopper,Grassland,Complex,26.4,Germany,1.35,0.33, ,2,1
97,Kruess & Tscharntke 2002b,Trap nesting Bees,Grassland,Complex,26.4,Germany,-0.6,0.33, ,2,1
98,Manhoudt et al. 2007,Plants,Grassland,Simple,0,Netherlands,1.08,0.15,Zeeland,2,2
99,Manhoudt et al. 2007,Plants,Grassland,Complex,29.7,Netherlands,1.98,0.42,Noord-Brabant,2,1
100,Marshall et al. 2006,Orthopterans,Grassland,Simple,3.3,England,0.95,0.1, ,2,2
101,Nickel & Achtziger 2005,Auchenorrhynchans,Grassland,Simple,0,Germany,2.2,0.64,Wiesmet,2,2
102,Nickel & Achtziger 2005,Auchenorrhynchans,Grassland,Complex,32.9,Germany,0.96,0.67,Königsau,2,1
103,Peter & Walter 2001,Orthopterans,Grassland,Complex, ,Switzerland,0.3,0.01, ,2,1
104,Petersen et al. 2006,Plants,Grassland,Simple, ,Denmark,1.35,0.1, ,2,2
105,Sjödin et al. 2008,Bees,Grassland,Complex, ,Sweden,0.08,0.25, ,2,1
106,Sjödin et al. 2008,Butterflies,Grassland,Complex, ,Sweden,-0.11,0.25, ,2,1
107,Sjödin et al. 2008,Hoverflies,Grassland,Complex, ,Sweden,0.65,0.25, ,2,1
108,Sjödin et al. 2008,Beetles,Grassland,Complex, ,Sweden,0.56,0.25, ,2,1
109,Verhulst et al. 2004,Birds,Grassland,Complex,54.7,Hungary,1.29,0.09, ,2,1
